,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying,expiry_type,Date,value,days_to_expiry,IV
0,ADANIPORTS,2015-01-29,PE,320.0,13.5,14.0,11.5,12.0,12.7,12.0,141,46862000.0,,81000,10000,319.55,monthly,2015-01-01,319.55,28,35
2,ADANIPORTS,2015-01-29,PE,320.0,11.9,12.5,8.9,10.85,10.7,10.85,428,141296000.0,,167000,86000,319.35,monthly,2015-01-02,319.35,27,32
4,ADANIPORTS,2015-01-29,PE,320.0,10.2,11.25,8.5,10.65,10.7,10.65,188,62042999.99999999,,204000,37000,323.8,monthly,2015-01-05,323.8,24,39
6,ADANIPORTS,2015-01-29,PE,320.0,12.2,14.55,7.95,12.45,12.25,12.45,587,194175000.0,,286000,82000,321.85,monthly,2015-01-06,321.85,23,43
8,ADANIPORTS,2015-01-29,PE,320.0,11.0,14.95,9.35,12.65,12.65,12.65,337,111960000.0,,277000,-9000,321.1,monthly,2015-01-07,321.1,22,43
10,ADANIPORTS,2015-01-29,PE,330.0,14.55,14.6,9.8,10.55,10.0,10.55,134,45773000.0,,104000,45000,334.55,monthly,2015-01-08,334.55,21,41
12,ADANIPORTS,2015-01-29,PE,330.0,7.85,13.0,7.1,10.75,10.4,10.75,244,82982000.0,,108000,4000,331.15,monthly,2015-01-09,331.15,20,38
14,ADANIPORTS,2015-01-29,PE,330.0,11.2,13.8,9.15,11.35,11.35,11.35,123,42014000.0,,113000,5000,328.45,monthly,2015-01-12,328.45,17,38
16,ADANIPORTS,2015-01-29,PE,320.0,6.4,9.0,5.9,8.15,7.7,8.15,270,88379000.0,,282000,-21000,323.0,monthly,2015-01-13,323.0,16,36
18,ADANIPORTS,2015-01-29,PE,330.0,12.15,13.1,8.4,9.25,8.75,9.25,139,47324000.0,,104000,-9000,331.25,monthly,2015-01-14,331.25,15,38
20,ADANIPORTS,2015-01-29,PE,330.0,8.0,12.6,7.5,9.45,9.75,9.45,149,50619000.0,,108000,4000,330.6,monthly,2015-01-15,330.6,14,39
22,ADANIPORTS,2015-01-29,PE,330.0,10.5,10.6,6.65,7.95,7.8,7.95,121,40920000.0,,145000,37000,330.85,monthly,2015-01-16,330.85,13,34
24,ADANIPORTS,2015-01-29,PE,330.0,6.7,9.55,6.65,8.2,8.05,8.2,116,39196000.0,,124000,-21000,328.35,monthly,2015-01-19,328.35,10,35
26,ADANIPORTS,2015-01-29,PE,330.0,7.5,8.95,6.4,6.85,7.15,6.85,100,33737000.0,,122000,-2000,330.5,monthly,2015-01-20,330.5,9,35
28,ADANIPORTS,2015-01-29,PE,330.0,6.4,9.2,5.85,7.3,7.35,7.3,113,38114000.0,,113000,-9000,329.35,monthly,2015-01-21,329.35,8,36
30,ADANIPORTS,2015-01-29,PE,330.0,6.65,7.5,6.0,6.65,6.4,6.65,109,36691000.0,,115000,2000,329.4,monthly,2015-01-22,329.4,7,35
32,ADANIPORTS,2015-01-29,PE,350.0,16.0,16.0,5.15,8.7,9.25,8.7,118,42227000.0,,41000,36000,346.9,monthly,2015-01-23,346.9,6,40
34,ADANIPORTS,2015-01-29,PE,350.0,9.7,10.5,6.4,8.85,9.0,8.85,65,23303000.0,,45000,4000,345.15,monthly,2015-01-27,345.15,2,60
36,ADANIPORTS,2015-01-29,PE,340.0,4.0,8.95,1.5,4.15,4.95,4.15,872,300093000.0,,92000,-65000,339.25,monthly,2015-01-28,339.25,1,53
320,ADANIPORTS,2015-02-26,PE,340.0,16.0,19.3,14.75,16.8,17.75,16.8,191,68145000.0,,149000,61000,335.9,monthly,2015-02-02,335.9,24,44
322,ADANIPORTS,2015-02-26,PE,330.0,13.5,16.5,13.5,16.5,16.5,16.5,35,12075000.0,,57000,17000,327.8,monthly,2015-02-03,327.8,23,48
324,ADANIPORTS,2015-02-26,PE,320.0,10.85,13.45,10.1,12.9,12.7,12.9,67,22218000.0,,93000,32000,321.25,monthly,2015-02-04,321.25,22,44
326,ADANIPORTS,2015-02-26,PE,310.0,10.3,12.25,8.5,11.45,12.25,11.45,78,24941000.0,,88000,-9000,312.2,monthly,2015-02-05,312.2,21,43
328,ADANIPORTS,2015-02-26,PE,300.0,7.25,11.6,6.75,10.95,10.8,10.95,112,34551000.0,,146000,12000,300.2,monthly,2015-02-06,300.2,20,40
330,ADANIPORTS,2015-02-26,PE,300.0,12.5,12.5,8.45,11.85,12.0,11.85,135,41927000.0,,161000,15000,300.15,monthly,2015-02-09,300.15,17,47
332,ADANIPORTS,2015-02-26,PE,320.0,22.05,22.05,12.3,13.35,12.3,13.35,61,20452000.0,,89000,-1000,317.85,monthly,2015-02-10,317.85,16,47
334,ADANIPORTS,2015-02-26,PE,330.0,15.5,15.55,12.3,13.1,12.85,13.1,48,16507000.0,,60000,17000,326.1,monthly,2015-02-11,326.1,15,42
336,ADANIPORTS,2015-02-26,PE,340.0,15.5,16.4,12.5,13.25,12.5,13.25,43,15227000.000000002,,132000,11000,336.6,monthly,2015-02-12,336.6,14,44
338,ADANIPORTS,2015-02-26,PE,340.0,13.0,14.9,10.0,13.45,13.4,13.45,65,22907000.0,,153000,21000,335.35,monthly,2015-02-13,335.35,13,44
340,ADANIPORTS,2015-02-26,PE,330.0,8.0,9.4,5.85,8.9,8.45,8.9,144,48586000.0,,229000,-7000,331.25,monthly,2015-02-16,331.25,10,44
342,ADANIPORTS,2015-02-26,PE,330.0,7.55,8.45,6.9,7.15,7.1,7.15,50,16881000.0,,217000,-12000,333.8,monthly,2015-02-18,333.8,8,46
344,ADANIPORTS,2015-02-26,PE,330.0,6.95,11.4,4.05,6.6,6.95,6.6,230,77650000.0,,231000,14000,333.85,monthly,2015-02-19,333.85,7,46
346,ADANIPORTS,2015-02-26,PE,330.0,5.35,8.75,5.15,8.1,7.9,8.1,56,18891000.0,,230000,-1000,329.0,monthly,2015-02-20,329.0,6,45
348,ADANIPORTS,2015-02-26,PE,320.0,3.5,4.3,2.1,2.7,2.5,2.7,139,44891000.0,,211000,-30000,323.4,monthly,2015-02-23,323.4,3,36
350,ADANIPORTS,2015-02-26,PE,330.0,11.0,11.0,2.2,3.25,2.2,3.25,115,38628000.0,,180000,-14000,334.05,monthly,2015-02-24,334.05,2,51
352,ADANIPORTS,2015-02-26,PE,330.0,2.45,5.5,1.25,3.85,3.75,3.85,161,53504000.0,,133000,-47000,328.2,monthly,2015-02-25,328.2,1,41
