,Symbol,Date,Expiry Date,Underlying,Strike Price,Straddle,Straddle %,Call IV,Put IV,R-VOL 7,R-VOL 20,R-VOL 100,Hist_RV,Edge,Year Corr.(NF),60 day Corr.(NF),Year Corr.(BNK),60 day Corr.(BNK),Edge 2,Hist Straddle
0,WIPRO,2022-04-05,26-May-2022,606.0,605.0,0.0,0.0,0,0,15.68,18.81,29.24,14.34,-2.89,51.55,76.71,,,-7.55,7.55
1,WIPRO,2022-04-05,28-Apr-2022,606.0,605.0,36.9,6.089108910891089,24.85,34.5,15.68,18.81,29.24,14.34,3.2,51.55,76.71,,,-1.4608910891089106,7.55
2,DIVISLAB,2022-04-05,26-May-2022,4491.0,4500.0,0.0,0.0,27.39,0,32.25,25.28,29.24,12.8,-2.56,38.76,66.91,,,-5.32,5.32
3,DIVISLAB,2022-04-05,28-Apr-2022,4491.0,4500.0,278.9,6.210198174126029,28.07,31.18,32.25,25.28,29.24,12.8,3.65,38.76,66.91,,,0.890198174126029,5.32
4,DIVISLAB,2022-04-05,30-Jun-2022,4491.0,4500.0,,,0,,32.25,25.28,29.24,12.8,,38.76,66.91,,,,5.32
5,SBIN,2022-04-05,26-May-2022,512.2,510.0,60.6,11.831315892229597,31.43,37.54,17.29,30.0,31.12,15.11,8.76,70.25,83.29,80.65,85.05,4.361315892229597,7.47
6,SBIN,2022-04-05,28-Apr-2022,512.2,510.0,32.85,6.413510347520498,30.57,31.52,17.29,30.0,31.12,15.11,3.34,70.25,83.29,80.65,85.05,-1.0564896524795016,7.47
7,SBIN,2022-04-05,30-Jun-2022,512.2,510.0,40.0,7.8094494338149145,0,0,17.29,30.0,31.12,15.11,4.74,70.25,83.29,80.65,85.05,0.33944943381491477,7.47
8,JSWSTEEL,2022-04-05,26-May-2022,731.35,730.0,0.0,0.0,0,0,38.15,35.75,39.5,18.79,-3.77,54.32,61.92,,,-7.05,7.05
9,JSWSTEEL,2022-04-05,28-Apr-2022,731.35,730.0,62.75,8.580023244684487,40.73,42.26,38.15,35.75,39.5,18.79,4.81,54.32,61.92,,,1.5300232446844868,7.05
10,EICHERMOT,2022-04-05,26-May-2022,2512.0,2520.0,166.15,6.614251592356688,0,0,27.75,28.19,28.5,14.59,3.69,57.59,70.31,,,2.9342515923566874,3.68
11,EICHERMOT,2022-04-05,28-Apr-2022,2512.0,2520.0,190.1,7.5676751592356695,27.16,0,27.75,28.19,28.5,14.59,4.65,57.59,70.31,,,3.8876751592356693,3.68
